REFDATE,NOC,NOC_job_vacancies,NOC_proportion_of_job_vacancies,NOC_average_offered_hourly_wage,ECON_assets_share_of_net_worth,ECON_debt_to_disposable_income,ECON_financial_assets_share_of_net_worth,ECON_financial_assets_share_of_total_assets,ECON_financial_assets_to_nonfinancial_assets,ECON_ liabilities_share_of_net_worth,ECON_liabilities_share_of_total_assets,ECON_net_worth_share_of_disposable_income,ECON_nonfinancial_assets_share_of_total_assets,ECON_owners_equity_share_of_real_estate,ECON_real_estate_share_of_disposable_income,ECON_real_estate_share_of_total_assets,Persons_in_thousands,INTEREST_RATE_fixed_variable,Core_inflation_factor_CPI_common,Core_inflation_weighted_median_CPI_median,Core_inflation_trimmed_mean_CPI_trim,Core_inflation_weighted_median_CPI_median_index,Core_inflation_trimmed_mean_CPI_trim_index,Core_inflation_all_items_excluding_8,Core_inflation_all_items_excluding_8_SA,GDP_by_income_compensation_of_employees,GDP_by_income_wages_and_salaries,GDP_by_industry_chained_2017_dollars_SA,GDP_by_industry_2017_constant_prices_SA,GDP_by_2017_constant_prices_TDA
42614,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1361.4,2.71,1.5,2,1.8,172.2,168.9,128.9,128.8,#N/A,#N/A,117048,116688,9728
42644,Aerospace engineers [21390],50,100,32.3,120.1,187.1,63.5,52.9,112.3,20.1,16.7,933.3,47.1,73,466.3,41.6,1360.2,2.68,1.4,2.1,1.8,172.6,169.1,129.1,128.8,1035532,886616,117094,116941,9699
42675,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1367.5,2.68,1.2,1.9,1.6,172.7,169.1,128.5,128.7,#N/A,#N/A,117338,117111,9722
42705,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1386.6,2.69,1.3,1.8,1.6,172.9,169.3,128.1,128.9,#N/A,#N/A,117610,117608,9709
42736,Aerospace engineers [21390],50,100,36,0,0,0,0,0,0,0,0,0,0,0,0,1386.7,2.85,1.2,1.8,1.6,173.1,169.6,128.7,129.3,1046532,900336,117263,117405,9513
42767,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1399.2,2.91,1.2,1.8,1.5,173.2,169.6,129.2,129.2,#N/A,#N/A,118112,118214,9769
42795,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1402,2.92,1.1,1.6,1.4,173.4,169.8,129.6,129.2,#N/A,#N/A,118752,118819,9874
42826,Aerospace engineers [21390],115,100,33.75,0,0,0,0,0,0,0,0,0,0,0,0,1403.3,2.87,1.1,1.6,1.4,173.6,170,129.6,129.4,1058860,912348,119363,119398,10013
42856,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1416.3,2.83,1,1.6,1.2,173.9,170.2,129.7,129.3,#N/A,#N/A,119810,119818,10117
42887,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1431.8,2.8,1.1,1.5,1.2,174.1,170.5,129.8,129.6,#N/A,#N/A,119911,119894,10248
42917,Aerospace engineers [21390],50,100,35.2,0,0,0,0,0,0,0,0,0,0,0,0,1443.8,2.84,1.2,1.6,1.3,174.4,170.7,129.7,129.6,1078692,930360,119830,119794,10118
42948,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1445.1,2.9,1.2,1.6,1.4,174.7,171,129.7,129.7,#N/A,#N/A,120176,120124,10004
42979,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1450.6,3.12,1.3,1.6,1.4,174.9,171.2,129.9,129.9,#N/A,#N/A,120865,120802,10069
43009,Aerospace engineers [21390],115,100,33.5,119.8,187.3,63.6,53.1,113.2,19.8,16.5,945.6,46.9,73,470.4,41.5,1459.1,3.2,1.3,1.5,1.4,175.2,171.5,130.3,130,1095740,945328,120498,120429,9989
43040,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1454.8,3.32,1.4,1.7,1.7,175.6,171.9,130.2,130.4,#N/A,#N/A,121327,121256,10062
43070,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1453.8,3.32,1.5,1.7,1.8,175.9,172.3,129.6,130.5,#N/A,#N/A,122473,122403,10087
43101,Aerospace engineers [21390],170,100,34.55,0,0,0,0,0,0,0,0,0,0,0,0,1439.1,3.37,1.6,1.8,1.8,176.2,172.7,130.2,130.7,1114100,960356,123038,122986,9970
43132,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1433.7,3.42,1.7,2,2,176.6,173,131.1,131,#N/A,#N/A,123813,123552,10216
43160,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1443.6,3.51,1.7,1.9,1.9,176.7,173,131.4,131.1,#N/A,#N/A,124562,124015,10313
43191,Aerospace engineers [21390],100,100,35.95,0,0,0,0,0,0,0,0,0,0,0,0,1460.7,3.55,1.8,2,2,177,173.4,131.5,131.2,1121080,966412,124964,124453,10423
43221,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1471.2,3.47,1.7,1.9,1.9,177.2,173.4,131.4,131.1,#N/A,#N/A,124992,124690,10518
43252,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1483.6,3.35,1.8,2,1.9,177.5,173.8,131.5,131.3,#N/A,#N/A,125364,125284,10695
43282,Aerospace engineers [21390],205,100,37.4,0,0,0,0,0,0,0,0,0,0,0,0,1492.4,3.51,1.9,1.9,2.1,177.8,174.2,131.8,131.7,1130008,974652,125609,125596,10599
43313,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1469.7,3.54,1.9,1.9,2.1,178.1,174.6,131.9,131.9,#N/A,#N/A,125701,125883,10481
43344,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1472.1,3.6,1.7,1.9,2,178.3,174.7,131.9,131.9,#N/A,#N/A,125861,126012,10505
43374,Aerospace engineers [21390],435,96,23.15,120.4,188.7,63.9,53.1,113.3,20.4,16.9,926.8,46.9,72.2,461.5,41.4,1473.1,3.59,1.8,2,2,178.7,175,132.4,132.2,1142604,986268,126266,126621,10512
43405,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1496.5,3.66,1.7,1.8,1.9,178.8,175.2,132.1,132.3,#N/A,#N/A,126868,127260,10572
43435,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1498.7,3.78,1.7,1.9,1.9,179.2,175.6,131.8,132.6,#N/A,#N/A,128446,128352,10588
43466,Aerospace engineers [21390],0,100,43.65,0,0,0,0,0,0,0,0,0,0,0,0,1519.3,3.84,1.7,1.9,1.9,179.5,175.9,132.2,132.7,1151640,994648,128664,128571,10431
43497,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1536,3.82,1.9,1.9,2,180,176.4,133.1,133,#N/A,#N/A,128736,128730,10657
43525,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1536,3.76,1.9,2.1,2.2,180.4,176.8,133.5,133.2,#N/A,#N/A,128872,128833,10723
43556,Aerospace engineers [21390],110,90.5,33.45,0,0,0,0,0,0,0,0,0,0,0,0,1529.8,3.58,2,2,2,180.5,176.9,133.5,133.4,1167164,1008468,129753,129447,10825
43586,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1550.9,3.45,2.1,2.1,2.2,180.9,177.3,134.1,133.9,#N/A,#N/A,129581,129444,10900
43617,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1549.7,3.33,2.1,2.1,2.1,181.2,177.4,134.1,134,#N/A,#N/A,130481,130604,11129
43647,Aerospace engineers [21390],90,100,33.5,0,0,0,0,0,0,0,0,0,0,0,0,1555.6,3.22,2.1,2.1,2.1,181.5,177.8,134.5,134.3,1181868,1021252,131449,131432,11086
43678,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1579.4,3.16,2,2.1,2,181.8,178.1,134.4,134.4,#N/A,#N/A,132258,132085,10997
43709,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1584.2,3.12,2.3,2.1,2,182,178.2,134.4,134.5,#N/A,#N/A,132176,132235,11023
43739,Aerospace engineers [21390],0,100,32.7,119.4,187.7,64.5,54,117.4,19.4,16.3,965.5,46,72.6,469.5,40.7,1578.9,3.12,2.3,2.1,2.1,182.4,178.6,134.9,134.6,1198464,1034668,132717,132888,11042
43770,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1570,3.14,2.4,2.2,2.2,182.8,179,134.6,134.7,#N/A,#N/A,133652,133963,11137
43800,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1574.6,3.22,2.3,2.1,2.1,183,179.2,134,134.8,#N/A,#N/A,134069,133348,11015
43831,Aerospace engineers [21390],115,100,37.6,120,192.1,62.3,51.9,108,20,16.7,958.2,48.1,73,491.7,42.7,1574,3.24,2.2,2.1,2,183.2,179.5,134.6,135.1,1185424,1022892,133155,132806,10794
43862,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1565.5,3.2,2,1.9,1.9,183.5,179.8,135.5,135.6,#N/A,#N/A,134318,133656,11082
43891,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1587.7,3.03,1.7,1.8,1.8,183.7,179.9,135.6,135.4,#N/A,#N/A,119400,120963,10078
43922,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1495.7,2.85,1.7,1.9,1.8,184,180,135.1,135,1085764,936072,118223,118826,9929
43952,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1497.1,2.78,1.5,1.8,1.5,184.1,180,135,134.7,#N/A,#N/A,119742,120651,10154
43983,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1503.8,2.68,1.5,1.8,1.7,184.5,180.5,135.6,135.4,#N/A,#N/A,124646,124848,10626
44013,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1543.5,2.57,1.4,1.8,1.6,184.7,180.7,135.5,135.2,1169480,1008420,128269,128614,10826
44044,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1565.2,2.4,1.5,1.8,1.6,185.1,181,135.5,135.4,#N/A,#N/A,130875,131032,10909
44075,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1592.3,2.3,1.4,1.9,1.7,185.5,181.3,135.7,135.7,#N/A,#N/A,133119,133208,11116
44105,Aerospace engineers [21390],0,100,40.85,117.9,175.2,61.5,52.2,109.1,17.9,15.2,979.6,47.8,75,495.7,42.9,1628.2,2.2,1.7,2,1.8,186.1,181.9,136.3,136.1,1203360,1038524,135592,135604,11297
44136,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1619.8,2.18,1.7,2,1.9,186.4,182.4,136.6,136.7,#N/A,#N/A,137430,137295,11427
44166,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1641.3,2.16,1.6,2,1.8,186.7,182.4,136,136.9,#N/A,#N/A,137443,137637,11357
44197,Aerospace engineers [21390],110,100,34.3,116.9,182.9,59.6,51,104.2,16.9,14.4,1084.1,49,76.7,561.6,44.3,1668.2,2.12,1.6,2.1,1.9,187,182.9,136.7,137.3,1231196,1064216,139032,139244,11321
44228,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1653.7,2.06,1.6,2.1,2,187.4,183.4,137.1,137.3,#N/A,#N/A,139748,140397,11646
44256,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1659.8,2.03,2,2.2,2.2,187.7,183.8,137.5,137.4,#N/A,#N/A,140375,140947,11764
